地区,品牌,数量
上海,爵浪,11
上海,牛伙计,11
上海,牧鱼（herdfish）,11
上海,特七,11
上海,犀牛角（eckomounts）,11
上海,猫妞（maoniu）,11
上海,玄皇xuanhuang,33
上海,珠泰,11
上海,班蓝,10
上海,琛岸,11
上海,瑜维晟,11
上海,瑞格尔,11
上海,甜柠檬sweetlemon,11
上海,生肖马,11
上海,田蟹,44
上海,甲盾士,11
上海,电狐（dianhu）,10
上海,百诺（benro）,11
上海,皓美雅,11
上海,真吉吉,11
上海,真魅zhenmei,11
上海,知茗,11
上海,知途,11
上海,硕柯园,11
上海,神行之光,11
上海,穗腾,11
上海,竹仔鱼,11
上海,筠芸筌,10
上海,筱齐,11
上海,米家,10
上海,米纶斯（milunsi）,11
上海,索云（suoyun）,11
上海,索尼,52
上海,索尼sony,10
上海,索尼（sony）,33
上海,索弘,10
上海,索文,10
上海,索爱,11
上海,索爱soaiy,22
上海,索爱（soaiy）,76
上海,索猫,32
上海,紫米,10
上海,紫风铃,11
上海,纽曼（newman）,11
上海,纽曼（newsmy）,53
上海,织语（zhiyu）,11
上海,绘话,10
上海,绿帅,11
上海,绿联,10
上海,绿联（ugreen）,11
上海,缤唐,33
上海,罗璐鸥,10
上海,美图,11
上海,美壳壳,22
上海,美赞仕（meizanshi）,30
上海,美跃（meiyue）,53
上海,美逸,10
上海,羽芯,21
上海,翌玉庭,33
上海,耿莱,11
上海,联伸锦,33
上海,联想,43
上海,联想(lenovo),10
上海,联想k5pro,11
上海,联想lenovo,11
上海,联想z5pro,11
上海,联想（lenovo）,75
上海,联浦,11
上海,肯捷kenjie,10
上海,膜思维,10
上海,至乐zhile,10
上海,至配（zeipei）,32
上海,舒沃shuwo,10
上海,艾帛利（aiboully）,11
上海,艾美仑,11
上海,芊阙,10
上海,花之家,83
上海,花卿士,11
上海,苏发,11
上海,英西达（kingcyta）,10
上海,苹果,11
上海,苹果（apple）,1160
上海,茗芮居,10
上海,荣耀,11
上海,莜茉（yomo）,20
上海,莫哥斯,11
上海,蒂美仕,11
上海,蕊芬妮,30
上海,蜂后,11
上海,蝶尊,22
上海,袋宝贝（daibaobei）,110
上海,西哈小熊,11
上海,西士,11
上海,西颜娴,11
上海,诗师美,10
上海,诺基亚（nokia）,106
上海,豹国,11
上海,赐帛（cibo）,11
上海,赞璐桐zanlutong,11
上海,赞璐桐（zanlutong）,20
上海,赫苛阁,11
上海,超旋西,11
上海,超科（chaoke）,11
上海,车菊草,11
上海,轩丽,9
上海,轩丽（xuanli）,20
上海,轩澳,10
上海,辉宏达,50
上海,辉航睿盛huihangruisheng,22
上海,迈琪数码,11
上海,速畅,11
上海,郎太轩琦langtaixuanqi,156
上海,都米（dumi）,11
上海,酷今（cooltoday）,11
上海,酷派coolpad,10
上海,酷派（coolpad）,21
上海,金响,11
上海,金柚,11
上海,金立,20
上海,鑫片,22
上海,长虹,11
上海,长虹changhong,21
上海,门萨,10
上海,闪森（shansen）,31
上海,闪猎,164
上海,闪电客,11
上海,闪盾（shandun）,11
上海,闪觅,43
上海,闪魔,11
上海,闪魔（smartdevil）,10
上海,阿奇猫,10
上海,陌颜,10
上海,雄冠xiongguan,11
上海,雅罗巴（yaluo0ba),11
上海,雨辉yuhui,21
上海,雲商一號,11
上海,雷米瑞leimirui,10
上海,雷蛇,10
上海,雷锤,74
上海,青笺谈墨,249
上海,靡兔,11
上海,韩菲琪,11
上海,韵友（yunyou）,11
上海,韵艺yunyi,11
上海,领石,11
上海,飞利浦,43
上海,飞利浦philips,65
上海,飞利浦（philips）,104
上海,飞花令,31
上海,香宜惠（xiangyihui）,10
上海,马拉车,21
上海,骁雄,11
上海,魅族16x,10
上海,魅族v8标配版,11
上海,魅族（meizu）,141
上海,魔风者,22
上海,魔风者（mofwo）,11
上海,麦硕（maishuo）,11
上海,麦路,32
上海,默派,11
上海 ,,21561
上海 ,-,22
上海 ,0,77
上海 ,1,22
上海 ,100,22
上海 ,10670390,11
上海 ,301,22
上海 ,360,98
上海 ,3s,11
上海 ,56thaink,10
上海 ,6gb+64gb4gb+64gbstftl10,11
上海 ,93,11
上海 ,accalia,11
上海 ,agm,21
上海 ,aoguzhe,22
上海 ,aoro,22
上海 ,apobico,11
上海 ,apple,173
上海 ,apple（苹果）,11
上海 ,aprilbuy,74
上海 ,artbird,22
上海 ,atoror,11
上海 ,baidafely,11
上海 ,beeste,10
上海 ,beibi,18
上海 ,binyeae,65
上海 ,bova,10
上海 ,bsn,87
上海 ,cameronsino,11
上海 ,cawa,11
上海 ,ckcy,33
上海 ,conquest,11
上海 ,conwhd,230
上海 ,cottee,33
上海 ,curry,11
上海 ,d.phone,11
上海 ,daindisheng,11
上海 ,dannilie,328
上海 ,deciuhlae,11
上海 ,dianhu,11
上海 ,dinox,11
上海 ,doloise,10
上海 ,f.l,11
上海 ,fale,11
上海 ,fghgf,11
上海 ,freeson,11
上海 ,fru,11
上海 ,fsile,11
上海 ,fultel,11
上海 ,gagaking,11
上海 ,gemry,11
上海 ,gionee,11
上海 ,gionee/金立,10
上海 ,glocalme,10
上海 ,hanatora/花虎,11
上海 ,hipi,11
上海 ,hixanny,22
上海 ,houselog,11
上海 ,hq,11
上海 ,huawei,33
上海 ,huawei华为,11
上海 ,idg,22
上海 ,isido,11
上海 ,isoojo,223
上海 ,itzoom,156
上海 ,iviewtec,10
上海 ,ivr,10
上海 ,ivvi,11
上海 ,jdhdl,31
上海 ,kerleei,22
上海 ,kingmagic,11
上海 ,kojom,148
上海 ,koraba,11
上海 ,kowell,22
