品牌,数量
华为（huawei）,4047
华为,734
荣耀,99
华为huawei,53
华为荣耀,43
华为(huawei),8
华为/小米/魅族/努比亚/美图/锤子/联想,6
华为荣耀8x,4
荣耀10青春版,4
华为p9,3
华为荣耀10,3
华为荣耀9i,2
华为/vivo/oppo/小米/魅族/金立,2
华为荣耀畅玩8c,2
荣耀honor,2
荣耀v20,2
华为/huawei,2
荣耀畅玩,2
华为智选,1
华为畅享,1
