年龄段,手机型号,销量
[18~24],海尔,443
[18~24],tensam,439
[18~24],msei,430
[18~24],米邑,430
[18~24],威视朗,428
[35~39],qyhjd,424
[40~49],叶梦丝yemengsi,423
[18~24],辉航huihang,422
50岁以上,其他品牌,417
[18~24],微启纪,415
[18~24],华为huawei,415
[18~24],生肖猪,414
[18~24],田蟹,411
[30~34],apple,411
[18~24],机诺基,410
[18~24],弗雷德,409
[18~24],宿巢,405
[18~24],广耐,403
[18~24],mcwl,402
[25~29],魔风者,402
18岁以下,小米（mi）,401
[18~24],lg,396
[30~34],飞利浦,396
[18~24],海天（haitian）,395
[18~24],斯尔格（hsier）,395
[35~39],青笺谈墨,394
[30~34],闪猎,388
[18~24],阿奇猫,387
[25~29],索猫,385
[35~39],三星（samsung）,384
[18~24],广弓,382
[18~24],羽芯,375
[18~24],苹果,373
[18~24],轩丽（xuanli）,371
[35~39],oppo,370
[18~24],蕊芬妮,369
[18~24],枳记家,366
[40~49],oppo,364
[18~24],索弘,358
[25~29],trendsetter,356
[25~29],索尼,354
[18~24],etuud,352
[40~49],vivo,352
18岁以下,华为,352
[18~24],奇际,351
[30~34],小米（mi）,351
[25~29],联想,350
[25~29],conwhd,350
[18~24],ttvxo,349
[30~34],尚尚签,347
[25~29],索爱soaiy,346
50岁以上,dannilie,344
[18~24],班蓝,342
[18~24],今首为,341
[25~29],360,341
[18~24],现代hyundai,340
[25~29],诺基亚（nokia）,340
[40~49],qyhjd,338
[18~24],飞花令,337
[18~24],皑雪,337
[18~24],犀牛角（eckomounts）,335
[18~24],丰驭（hccbm）,335
[25~29],克雷盾（keleidun）,335
[18~24],zimon,334
[25~29],倍克贝克,331
[18~24],oloey,330
[30~34],郎太轩琦langtaixuanqi,330
[18~24],s-guard,328
[25~29],卡贝罗（kabelluo）,328
[18~24],zuohe佐禾,328
[18~24],闪魔,327
[18~24],纽曼（newsmy）,327
[18~24],麦路,325
[18~24],金响,325
[18~24],yumqua,325
50岁以上,其他,324
[18~24],小雪人,324
[18~24],小辣椒,320
[18~24],赫苛阁,319
18岁以下,apple,318
[18~24],vieruodis,317
[18~24],雨鸿,316
[18~24],苏发,316
[35~39],闪猎,316
[18~24],联浦,312
[18~24],刺勋（cixun）,311
[18~24],墨迪（muedy）,310
[18~24],金响（jogdrc）,309
[30~34],魅族（meizu）,309
[18~24],幻玺,308
[18~24],优百思（youbaisi）,307
[18~24],舒沃shuwo,300
[40~49],闪猎,298
[18~24],小霸王,297
[18~24],殇雨嫣,297
[30~34],itzoom,295
[18~24],金艺美（jinyimei）,294
[18~24],fghgf,294
[25~29],花之家,293
[30~34],孜淑zishu,293
[25~29],三星,291
50岁以上,oppo,290
[18~24],斯伲克思（sinikesi）,288
[18~24],盟点（mengdian）,288
[18~24],夏腾,285
[18~24],家宜佳,285
[18~24],潮范,283
[25~29],戴为,283
[25~29],索爱（soaiy）,282
[25~29],联伸锦,282
[18~24],森麥康,281
[25~29],aoro,280
[40~49],三星（samsung）,277
[18~24],美图（meitu）,276
[18~24],天椒,275
[18~24],华为荣耀,274
[18~24],吉之光,274
[18~24],亿魅billioncharm,273
[18~24],持恒,273
[25~29],缤唐,272
[18~24],逆翔,272
[25~29],尚路,271
18岁以下,itzoom,270
[18~24],艾美仑,269
18岁以下,尚尚签,268
[18~24],艾斯盾,267
[18~24],樱桃猫（cherrycat）,265
[35~39],vivo,265
[18~24],kingmagic,264
[18~24],豆图（doutu）,264
[18~24],辉航睿盛huihangruisheng,263
[18~24],雷蛇（razer）,262
[18~24],nanum,261
[18~24],涵玥,261
[30~34],0,257
[18~24],酷斯基,257
[18~24],联想lenovo,256
[18~24],幸运钻,256
[18~24],海尔haier,255
[18~24],弘鉴,255
[18~24],fale,254
18岁以下,魅族（meizu）,252
[25~29],萧萧布落,250
18岁以下,戴霸daiba,249
[25~29],努比亚（nubia）,249
[25~29],汉牌,248
[18~24],小霸王（subor）,248
[18~24],沄汧,248
[18~24],索尼sony,247
[18~24],zmi,247
[30~34],kojom,246
[25~29],tcl,245
[18~24],veecle,245
[18~24],全颂,244
[18~24],海尔（haier）,242
18岁以下,飞利浦,242
[18~24],虎克,241
[18~24],gemry,241
[25~29],奥古者aoguzhe,240
[18~24],ttfamily,239
[18~24],卡其鹿,238
[25~29],其它,238
[30~34],魔风者,238
[18~24],ytqaff,237
[18~24],万姆,237
[25~29],努比亚,237
[18~24],诗师美,236
18岁以下,360,236
[18~24],点缤,234
18岁以下,索尼（sony）,232
[18~24],莫哥斯,232
[18~24],迈煜（maiyu）,231
[18~24],柒艺,230
[18~24],conquest,230
[18~24],墙上飞,230
[18~24],卡斯兰,229
[18~24],东烁,228
[18~24],韩菲琪,228
[18~24],冉易（ranyi）,228
[18~24],顾致,227
[25~29],赞璐桐（zanlutong）,227
[18~24],惠戈尔huigeer,226
18岁以下,索尼,226
[18~24],洛克（rock）,225
[25~29],金立,224
50岁以上,叶梦丝yemengsi,224
[18~24],其它品牌,223
[18~24],朵唯（doov）,223
[30~34],丽人族,223
18岁以下,丽人族,223
[25~29],ounegd,222
[18~24],战驴,221
[18~24],亿色（esr）,221
[25~29],宅耕zhaigeng,220
[18~24],莜茉（yomo）,220
[18~24],pstede,220
50岁以上,qyhjd,219
[25~29],真蓓,219
18岁以下,辉宏达,218
[25~29],戴霸daiba,218
18岁以下,0,217
\N,,217
18岁以下,争光,216
[18~24],利方琪lifangqi,216
[18~24],曼珠,216
[18~24],惠维,216
18岁以下,青笺谈墨,216
[18~24],魅蓝华为小米金立vivo锤子一加诺基亚努比亚美图,215
[18~24],维诺亚,215
[18~24],韵友（yunyou）,214
[18~24],海信（hisense）,214
[18~24],cameronsino,212
[18~24],极米,211
[18~24],纪普,209
[18~24],事业发shiyefa,208
[18~24],牧鱼（herdfish）,208
[18~24],熙枫（xifeng）,207
[18~24],koolife,207
[25~29],度隽,207
[25~29],1,207
[18~24],麦路maluu,206
[18~24],金立（gionee）,206
18岁以下,三星,206
[18~24],潮和,206
[18~24],多靓duoliang,205
[18~24],一加,205
[18~24],杞记,205
[18~24],玩出色,204
[18~24],英顿inton,203
[18~24],闪森（shansen）,203
[18~24],捷贵,203
[18~24],猫妞（maoniu）,203
[18~24],古莱登（godlike）,203
[25~29],卡弗拉,201
[18~24],知茗,201
[18~24],hixanny,200
[18~24],欧奇（ouki）,200
[18~24],飞创,199
[18~24],知车行,199
[35~39],孜淑zishu,198
[18~24],青笺淡墨,198
[18~24],奥凯罗,197
[30~34],isoojo,197
[25~29],奇略,197
[30~34],联想,195
[25~29],cottee,195
[25~29],荣耀,195
[30~34],诺基亚（nokia）,195
[18~24],羽迪,194
[18~24],莱蒽斯,194
18岁以下,袋宝贝（daibaobei）,194
[18~24],意宝宝,194
18岁以下,诺基亚（nokia）,194
[30~34],conwhd,194
[18~24],众度,192
[35~39],魅族（meizu）,191
[18~24],都米（dumi）,191
50岁以上,vivo,190
[30~34],飞利浦philips,190
[25~29],辉宏达,189
[18~24],骁雄,188
[18~24],筱岙,188
[18~24],酷思麦,187
[35~39],小米（mi）,187
[18~24],煌荣,187
[18~24],赛铧睿shr,186
[25~29],安佑卓,185
[18~24],轩丽,184
[18~24],huawei,183
[30~34],三星,183
[18~24],卫护（eihoo）,183
18岁以下,汉牌,183
[18~24],vetas,183
[25~29],索尼（sony）,182
[25~29],aprilbuy,182
[30~34],汉牌,182
[18~24],疯壳,182
[18~24],ajiuyu,181
[35~39],apple,181
18岁以下,花之家,181
[18~24],燚（upfire）,181
[18~24],爵浪,180
[18~24],escase,178
[18~24],召召木木（ccmumu）,176
[18~24],佑觅乐,176
[18~24],赛兹,176
[18~24],丘普（qiupu）,175
[18~24],卡泽威kazewei,175
[25~29],翌玉庭,175
[25~29],旺驰wangchi,174
[18~24],博瑞威boriwee,174
[18~24],珍酷zku,173
[18~24],莫凡,173
[18~24],颂凯,172
[25~29],美跃（meiyue）,172
[35~39],华为,171
[18~24],迈谷斯（maigusi）,171
[25~29],紊婳轩,170
[25~29],romsion,170
[18~24],mann,170
[18~24],sony,170
[18~24],真魅zhenmei,169
18岁以下,奇声qisheng,169
[18~24],飓风,166
[18~24],spigen,166
[18~24],瑜维晟,165
[35~39],袋宝贝（daibaobei）,165
[25~29],waidm,165
[25~29],施卡洛,164
[18~24],意恋yilian,164
[25~29],lzl,164
50岁以上,青笺谈墨,164
[18~24],m.xmade,164
[18~24],德穆兰（demulan）,164
[25~29],超科（chaoke）,163
[18~24],浪龙,163
[18~24],nan,163
[35~39],360,163
[30~34],360,162
[25~29],中兴（zte）,162
[18~24],西士,162
[40~49],华为,161
[25~29],恬鑫,161
[18~24],杰普顿jptecdon,161
[18~24],绿联（ugreen）,160
[18~24],麗等後（watingforli）,160
[25~29],酷派（coolpad）,160
[18~24],电狐,160
[18~24],freeson,160
[18~24],voto,160
[35~39],魔风者,159
[18~24],龙岂,159
[35~39],尚尚签,158
[25~29],争光,158
[18~24],悦可,157
[25~29],天语（k-touch）,156
[18~24],硕普（supple）,156
18岁以下,卡弗拉,154
[40~49],闪觅,154
18岁以下,飞利浦philips,154
[18~24],戴为（derrwerr）,153
[18~24],至乐zhile,153
[18~24],发威猫,153
[30~34],美跃（meiyue）,153
[30~34],卡贝罗（kabelluo）,153
[25~29],至配（zeipei）,152
[18~24],筠芸筌,152
[18~24],卡西菲kaxifei,152
